Created On,Updated On,Long Order ID,Category,Status,Net Sales,Short Order No,Transaction Type,Net Total (API Payout)
28 Feb 2026 08:41 PM,28 Feb 2026 08:59 PM,00101669431-C73CT2DKACKFUA,Payment,Settled,19427,GF-454,grabfood,14437.5
28 Feb 2026 06:43 PM,28 Feb 2026 07:23 PM,001580305191-C73CSEBFFETKHE,Payment,Settled,35726,GF-647,grabfood,26550.0
27 Feb 2026 11:41 PM,28 Feb 2026 12:11 AM,0019105900-C73CCBJFN4D3EE,Payment,Settled,49451,GF-485,grabfood,36750.0
26 Feb 2026 11:51 PM,27 Feb 2026 12:21 AM,001028628678-C73BEUXGSA6WCA,Payment,Settled,36155,GF-536,grabfood,26868.75
26 Feb 2026 10:51 PM,26 Feb 2026 11:16 PM,001034176040-C73BEEDDA6KGAN,Payment,Settled,18014,GF-970,grabfood,13387.5
26 Feb 2026 04:27 PM,26 Feb 2026 04:53 PM,001028410711-C73AWADFEY5JN6,Payment,Settled,32295,GF-905,grabfood,24000.0
23 Feb 2026 09:39 PM,23 Feb 2026 10:13 PM,001126764174-C722L7NYCENTGA,Payment,Settled,14583,GF-466,grabfood,10837.5
21 Feb 2026 04:30 PM,21 Feb 2026 04:52 PM,001427171673-C72ZN2UDL742CJ,Payment,Settled,32295,GF-410,grabfood,24000.0
20 Feb 2026 05:24 PM,20 Feb 2026 06:10 PM,001401884819-C72YTNCDVYTDV6,Payment,Settled,26946,GF-629,grabfood,20025.0
19 Feb 2026 05:41 PM,19 Feb 2026 06:26 PM,001145211133-C72XV72VEPMEVE,Payment,Settled,36230,GF-804,grabfood,26925.0
18 Feb 2026 05:11 PM,18 Feb 2026 05:36 PM,00133133751-C72XBFEZPAJKVT,Payment,Settled,18872,GF-561,grabfood,14025.0
16 Feb 2026 01:31 PM,16 Feb 2026 02:03 PM,001546901591-C72VEPDGARJFJT,Payment,Settled,32295,GF-520,grabfood,24000.0
15 Feb 2026 11:43 PM,16 Feb 2026 12:43 AM,001723274040-C72URRAGTCBFJN,Payment,Settled,18872,GF-748,grabfood,14025.0
12 Feb 2026 01:38 AM,12 Feb 2026 02:18 AM,001010823292-C72JGXKZJZDBE6,Payment,Settled,70897,GF-559,grabfood,52687.5
11 Feb 2026 12:05 AM,11 Feb 2026 12:53 AM,001870555301-C72HJNKVHA6HE6,Payment,Settled,23716,GF-871,GrabFood For One,17625.0
10 Feb 2026 03:23 PM,10 Feb 2026 03:58 PM,00110262301-C72HCGAHLX63C6,Payment,Settled,18872,GF-561,grabfood,14025.0
09 Feb 2026 01:16 PM,09 Feb 2026 01:47 PM,001213061666-C72GC8AVJYB1RE,Payment,Settled,20159,GF-785,grabfood,14981.25
06 Feb 2026 03:12 PM,06 Feb 2026 03:58 PM,001137626450-C72DNYLJVKVBRE,Payment,Settled,23186,GF-461,grabfood,17231.25
04 Feb 2026 04:54 PM,04 Feb 2026 05:45 PM,00148235205-C72BWCDFLGAWWA,Payment,Settled,18872,GF-753,grabfood,14025.0
03 Feb 2026 01:50 PM,03 Feb 2026 02:27 PM,001308976060-C72BAFBAMBBKPA,Payment,Settled,20159,GF-503,grabfood,14981.25
02 Feb 2026 06:48 PM,02 Feb 2026 07:17 PM,001763634683-C72AGLKELNVKA2,Payment,Settled,18872,GF-869,grabfood,14025.0
31 Jan 2026 11:30 PM,01 Feb 2026 12:29 AM,001571979816-C7X2R6BXCGBKA6,Payment,Settled,17156,GF-714,GrabFood For One,12750.0
